experiment_name,timestamp,experiment_folder,fl_Federated Learning Parameters,fl_num-server-rounds,fl_fraction-train,fl_local-epochs,fl_lr,fl_batch-size,fl_num-clients,fl_random-seed,fl_Strategy & Optimization Parameters,fl_strategy,fl_proximal_mu,fl_warmup_rounds,fl_weight_decay,fl_early_stopping,fl_early_stop_patience,model_Model Architecture Parameters,model_seq_len,model_pred_len,model_patch_size,model_stride,model_d_model,model_hidden_size,model_kernel_size,model_llm_layers,model_lora_r,model_lora_alpha,model_lora_dropout,model_dropout,model_model,best_round,best_val_loss,best_val_mae,best_val_rmse,client_mae_std,worst_client_mae,best_client_mae,fairness_ratio,final_round,final_val_loss,final_val_mae,final_val_rmse,final_train_loss,avg_val_loss,avg_val_mae,avg_val_rmse,avg_train_loss,total_training_time_sec,total_training_time_min,avg_round_duration_sec,avg_client_train_duration_sec,max_client_train_duration_sec,avg_client_drift,max_client_drift,total_comm_mb,rounds_to_target,comm_to_target,total_round_duration_sec,start_timestamp,end_timestamp
20260311_181647,20260311_181647,experiments_20260311_181647,,15,1.0,1,0.001,32,5,2021.0,,fedavg,0.01,1,0.01,true,5,,336,72,16,16,768,64,1,4,8,16,0.0,0.15,gpt4ts_nonlinear,2.0,0.9171719181397382,0.7441335678100586,0.9570361137390136,0.028244263520458588,0.7617021799087524,0.6867325901985168,1.1091685334004082,7.0,1.0406231787660545,0.7850437521934509,1.0190822958946228,0.638260861672461,0.9536366817790921,0.7555977293423243,0.9755152668271746,0.7932614610983937,3418.6176652908325,56.97696108818055,488.3734466688974,64.45756222179958,66.39224910736084,45.992591563252184,50.96426205158466,18531.241760253906,,,3418.6141266822815,2026-03-11 18:16:59,2026-03-11 19:13:58
20260311_181617,20260311_181617,experiments_20260311_181617,,15,1.0,1,0.001,32,5,2021.0,,fedavg,0.01,1,0.01,true,5,,336,72,16,16,768,32,1,4,8,16,0.0,0.15,gpt4ts_nonlinear,3.0,0.911678749273805,0.7401297807693481,0.9541343092918396,0.029735112244513823,0.7579851150512695,0.6793962717056274,1.1156745284285186,8.0,1.037851638737847,0.790326964855194,1.0178096890449524,0.7094718411184286,0.9467813525278779,0.7553840100765228,0.971982592344284,0.8281668366607708,3940.3287436962128,65.67214572827021,492.5404959022999,64.89335876703262,66.54432606697083,44.389594085109486,48.97338837598375,21170.89599609375,,,3940.323967218399,2026-03-11 18:16:29,2026-03-11 19:22:10
20260311_172118,20260311_172118,experiments_20260311_172118,,15,1.0,1,0.001,32,5,2021.0,,fedavg,0.01,1,0.01,true,5,,336,72,16,16,768,64,1,3,8,16,0.0,0.15,gpt4ts_nonlinear,3.0,0.9114356859168586,0.7393668413162231,0.9540103077888488,0.030858496662521846,0.7609708309173584,0.6788386702537537,1.1209892191806092,8.0,1.143968011221465,0.8260010242462158,1.0684841752052308,0.5938269184681998,0.9840559785898557,0.7671265318989754,0.990352874994278,0.7766443975103308,3309.2342579364777,55.15390429894129,413.65366849303246,51.64198558926582,53.81806254386902,43.93577228648569,49.39795610773897,18985.515136718754,,,3309.2293479442596,2026-03-11 17:21:32,2026-03-11 18:16:41
20260311_172059,20260311_172059,experiments_20260311_172059,,15,1.0,1,0.001,32,5,2021.0,,fedavg,0.01,1,0.01,true,5,,336,72,16,16,768,32,1,3,8,16,0.0,0.15,gpt4ts_nonlinear,3.0,0.9104784598631016,0.7417719483375549,0.953471839427948,0.02940994833680145,0.7612899541854858,0.6828926205635071,1.1148018462365095,8.0,1.0572388377189637,0.79189692735672,1.026805591583252,0.6993930715937368,0.9508568574308472,0.7557670250535011,0.9738790675997734,0.8236949850939044,3297.918366909027,54.965306115150455,412.23931178450584,51.93610566258431,53.33990859985352,43.94497166316878,47.7556167142444,18977.84912109375,,,3297.9144942760468,2026-03-11 17:21:12,2026-03-11 18:16:10
20260311_172019,20260311_172019,experiments_20260311_172019,,15,1.0,1,0.001,32,5,2021.0,,fedavg,0.001,1,0.01,true,5,,336,72,16,16,768,16,1,3,8,16,0.0,0.15,gpt4ts_nonlinear,4.0,0.9084469470732351,0.7376516819000244,0.952496349811554,0.031467260002252834,0.7617108225822449,0.6755203604698181,1.1275912128725212,9.0,0.9738883895207854,0.7626392364501953,0.9860007643699646,0.7941073771315798,0.9284444215548974,0.7458448529243469,0.9628157946798537,0.8576376707177373,3613.480748176575,60.22467913627624,401.4972851011488,50.52813864284091,54.47083783149719,42.74243310559316,46.52372881712207,21345.768127441403,,,3613.4755659103394,2026-03-11 17:20:33,2026-03-11 18:20:47
20260309_101159,20260309_101159,experiments_20260309_101159,,15,1.0,1,0.001,32,5,2021.0,,fedprox,0.01,1,0.01,true,5,,336,432,16,16,768,16,3,4,8,16,0.0,0.15,llama_nonlinear,10.0,0.8472583259532354,0.7039594173431396,0.9187238812446594,0.04764104074299952,0.7704322934150696,0.6451042890548706,1.1942755713867823,15.0,,,,,0.8665039980085941,0.7155965554714203,0.9289884424209595,0.8073316134213393,11284.324896335602,188.07208160559333,752.2874589443206,128.49549322995273,151.79031085968018,3.5250317572469716,5.664770266010863,39851.33972167969,,,11284.31188416481,2026-03-09 10:12:11,2026-03-09 13:20:16
20260309_100425,20260309_100425,experiments_20260309_100425,,15,1.0,1,0.001,32,5,2021.0,,fedper,0.01,1,0.01,true,5,,336,72,16,16,768,16,3,4,8,16,0.0,0.15,gpt4ts_nonlinear,5.0,0.5097772043997231,0.5446028590202332,0.7128687143325806,0.035409216007312797,0.5928025245666504,0.4878877699375152,1.2150387058125516,10.0,0.5312637472110799,0.5531742453575135,0.7271324157714844,0.4495461824500872,0.5179411674236467,0.5489753901958465,0.718454006910324,0.4764546879832688,7723.540244102478,128.7256707350413,772.3532068729401,114.50715054512023,134.95437788963318,28.936207403513244,31.913702011873927,26459.024047851562,,,7723.532068729401,2026-03-09 10:04:37,2026-03-09 12:13:21
20260309_071005,20260309_071005,experiments_20260309_071005,,15,1.0,1,0.001,32,5,2021.0,,fedper,0.01,1,0.01,true,5,,336,72,16,16,768,16,3,4,8,16,0.0,0.15,llama_nonlinear,9.0,0.5115627295427478,0.5457393765449524,0.7141047477722168,0.035275437834958,0.5936776399612427,0.4893011748790741,1.2133174217453375,14.0,0.5147240689046534,0.547160542011261,0.7163331270217895,0.4660631342355841,0.5159031743605169,0.548306405544281,0.7172195289816174,0.4833910160103048,8887.127859830856,148.1187976638476,634.7938115937369,91.14466661385129,107.89930152893066,5.345618752517757,7.240478234188652,33945.95397949218,,,8887.113362312317,2026-03-09 07:10:17,2026-03-09 09:38:24
20260309_070244,20260309_070244,experiments_20260309_070244,,15,1.0,1,0.001,32,5,2021.0,,fedper,0.01,1,0.01,true,5,,336,1,16,16,768,16,3,4,8,16,0.0,0.15,gpt4ts_nonlinear,11.0,0.0804933401482309,0.2069829881191253,0.2808537304401398,0.040727111202649866,0.2605553865432739,0.1546967476606369,1.6842977663296608,15.0,0.0805988366952173,0.2080940663814544,0.2810572475194931,0.0820133401419072,0.08361144754722465,0.2124240903059641,0.2862130266427994,0.08596004146268274,10881.285463094711,181.3547577182452,725.4161702473958,114.23438268979389,135.61441349983215,24.49765930442084,28.707572215361218,39002.069664001465,1.0,2600.1379776000977,10881.242553710938,2026-03-09 07:02:56,2026-03-09 10:04:18
20260309_053246,20260309_053246,experiments_20260309_053246,,15,1.0,1,0.001,32,5,2021.0,,fedper,0.01,1,0.01,true,5,,336,1,16,16,768,16,3,4,8,16,0.0,0.15,llama_nonlinear,5.0,0.0848988576046665,0.2162686139345169,0.2890334069728851,0.03661493862724744,0.2637601792812347,0.1684257984161377,1.5660319366843656,10.0,0.0936229518879622,0.2317705512046814,0.3040117859840393,0.0805387119259761,0.09184457667275188,0.22787930160760878,0.30091400980949395,0.08923550119091167,5820.314546346664,97.00524243911109,582.0304795742035,89.53571340560913,105.69014143943788,3.758093477132089,5.170131241634218,23789.465713500977,1.0,2378.9465713500977,5820.304795742035,2026-03-09 05:32:57,2026-03-09 07:09:58
20260309_045206,20260309_045206,experiments_20260309_045206,,15,1.0,1,0.001,32,5,2021.0,,fedln,0.01,1,0.01,true,5,,336,72,16,16,768,16,3,4,8,16,0.0,0.15,gpt4ts_nonlinear,5.0,0.5094737257304678,0.5442309141159057,0.712563407421112,0.035772625063699236,0.5948417782783508,0.4884786307811737,1.2177437062642464,10.0,0.5314371134429894,0.5548876404762269,0.7273891925811767,0.4483709203686442,0.5186815063515616,0.5496983432769775,0.7188997554779052,0.4746957172720849,7818.107615947723,130.30179359912873,781.8099670171738,115.994503736496,137.20109939575195,29.368354825107936,32.79837023472727,26459.024047851562,,,7818.099670171738,2026-03-09 04:52:18,2026-03-09 07:02:36
20260309_031223,20260309_031223,experiments_20260309_031223,,15,1.0,1,0.001,32,5,2021.0,,fedln,0.01,1,0.01,true,5,,336,72,16,16,768,16,3,4,8,16,0.0,0.15,llama_nonlinear,8.0,0.5124773201241534,0.5468361258506775,0.7147714614868164,0.03543000833746606,0.5944310426712036,0.4893409311771393,1.2147584736908554,13.0,0.5161337532208746,0.5473429799079895,0.7173264026641846,0.4667051652830618,0.5182918059283004,0.5504942187896142,0.7188980065859281,0.48275117010171303,8403.993456363678,140.0665576060613,646.4594452564533,92.48079978869511,109.77660536766052,5.322986627361051,6.929806178887284,31521.242980957028,,,8403.972788333893,2026-03-09 03:12:35,2026-03-09 05:32:39
20260309_014611,20260309_014611,experiments_20260309_014611,,15,1.0,1,0.001,32,5,2021.0,,fedln,0.01,1,0.01,true,5,,336,1,16,16,768,16,3,4,8,16,0.0,0.15,gpt4ts_nonlinear,11.0,0.0806188116923726,0.2075461685657501,0.2810520619153976,0.040965688607310854,0.2612889409065246,0.1546798944473266,1.6892236824967692,15.0,0.0807081401292352,0.2080171376466751,0.2813004195690155,0.0822634951097072,0.0840552706508734,0.21359448293844852,0.2870290203889211,0.08561455488053847,11133.93742632866,185.5656237721443,742.2602627754211,117.35689352671304,141.6803629398346,24.58752625843067,28.38147602555972,39002.069664001465,1.0,2600.1379776000977,11133.903941631317,2026-03-09 01:46:23,2026-03-09 04:51:58
20260309_014258,20260309_014258,experiments_20260309_014258,,15,1.0,1,0.001,32,5,2021.0,,fedln,0.01,1,0.01,true,5,,336,1,16,16,768,16,3,4,8,16,0.0,0.15,llama_nonlinear,4.0,0.0845349474994073,0.2143808513879776,0.2882545232772827,0.03717539419707708,0.263096809387207,0.1663000434637069,1.582060977901217,9.0,0.0885945538054541,0.2233832567930221,0.2954462230205535,0.0807094533434501,0.09147730351552581,0.22727357645829516,0.29981287982728744,0.09040652250148012,5347.857206106186,89.1309534351031,594.2059131728279,91.6320504983266,113.26700496673584,3.8376369442409577,5.159779898414159,21410.51914215088,1.0,2378.9465713500977,5347.85321855545,2026-03-09 01:43:09,2026-03-09 03:12:17
20260309_011810,20260309_011810,experiments_20260309_011810,,15,1.0,1,0.001,32,5,2021.0,,fedprox,0.01,1,0.01,true,5,,336,1,16,16,768,16,3,4,8,16,0.0,0.15,bart_nonlinear,13.0,0.0819918607216417,0.2083716005086898,0.283516252040863,0.042075058253641065,0.2639531791210174,0.1539419293403625,1.7146282384016525,15.0,0.082131373132036,0.2097777485847473,0.2840652853250504,0.0867772596315389,0.151669267779044,0.27077667971452074,0.3567334169149399,0.10655346587456278,23615.94686961174,393.599114493529,1574.3905438741049,280.5475608221689,341.42765641212463,1.893814839646258,16.868477426210184,116663.10482025146,3.0,23332.620964050293,23615.858158111572,2026-03-09 01:18:23,2026-03-09 07:52:01
