experiment_id,timestamp,seed,model,peft_method,is_pretrained,fl_algorithm,pred_len,learning_rate,local_epochs,num_rounds_configured,num_rounds_completed,batch_size,num_clients,weight_decay,warmup_rounds,proximal_mu,early_stop_patience,dropout,seq_len,patch_size,stride,num_patches,d_model,hidden_size,kernel_size,llm_layers,lora_r,lora_alpha,lora_dropout,num_trainable_params,num_total_params,model_payload_mb,best_round,best_val_mse,best_val_mae,best_val_rmse,best_test_mse,best_test_mae,best_test_rmse,best_train_mse,first_round_val_loss,final_round_val_loss,val_loss_improvement_pct,overfit_gap,overfit_ratio,converged,loss_trend_last3,early_stopped,early_stop_round,client_val_mae_mean,client_val_mae_std,client_val_mae_min,client_val_mae_max,client_val_mae_best_city,client_val_mae_worst_city,fairness_ratio,payload_per_round_mb,total_comm_mb,comm_to_best_mb,rounds_per_mae_point,total_training_time_sec,total_training_time_min,avg_round_duration_sec,avg_client_train_dur_sec,max_client_train_dur_sec,status,experiment_dir,notes,dataset_name,target_column
centralized_20260212_181202,20260212_181202,2021.0,gpt4ts_nonlinear,,,centralized,432,0.0001,2,10,6.0,32,5.0,0.01,1,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,8507088.0,,,1.0,0.999478,0.780304,0.998715,1.003631,0.781576,1.001457,0.985131,0.999478,1.107522,0.0,0.014347,1.0146,False,increasing,True,6.0,,,,,,,,,0.0,0.0,,9197.573314,153.292889,1532.93,1178.46,1182.09,early_stopped,/raid/tin_trungchau/tmp/centralized_20260212_181202,,,
centralized_20260212_211714,20260212_211714,2021.0,bert_nonlinear,,,centralized,1,0.0001,2,10,10.0,32,5.0,0.01,1,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,92706337.0,,,10.0,0.029838,0.10777,0.166436,0.029537,0.10886,0.166659,0.029384,0.035096,0.029838,14.98,0.000454,1.0155,True,decreasing,False,,,,,,,,,,0.0,0.0,7.56,11225.566247,187.092771,1122.55,949.78,1065.93,completed,/raid/tin_trungchau/tmp/centralized_20260212_211714,,,
centralized_20260213_013554,20260213_013554,2021.0,gpt4ts_nonlinear,,,centralized,1,0.0003,1,10,6.0,32,5.0,0.02,1,,5,0.2,336,4,1,334,768,32,3,2,8,16,0.1,1272789.0,,,1.0,0.036521,0.125901,0.184495,0.036748,0.127842,0.185965,0.168577,0.036521,0.055225,0.0,-0.132056,0.2166,False,increasing,True,6.0,,,,,,,,,0.0,0.0,,10499.554541,174.992576,1749.92,1454.36,1526.94,early_stopped,/raid/tin_trungchau/tmp/centralized_20260213_013554,,,
centralized_20260213_043123,20260213_043123,2021.0,gpt4ts_nonlinear,,,centralized,72,0.0003,1,10,7.0,32,5.0,0.02,1,,5,0.2,336,4,1,334,768,32,3,2,8,16,0.1,19485212.0,,,2.0,0.898223,0.728227,0.946903,0.893576,0.726452,0.945105,0.945798,0.915532,1.112397,1.89,-0.047575,0.9497,False,increasing,True,7.0,,,,,,,,,0.0,0.0,1.71,12504.502444,208.408374,1786.36,1461.85,1465.74,early_stopped,/raid/tin_trungchau/tmp/centralized_20260213_043123,,,
centralized_20260213_143410,20260213_143410,2021.0,llama_nonlinear,,,centralized,72,0.0003,1,10,10.0,32,5.0,0.02,1,,5,0.2,336,4,1,334,768,16,3,4,8,16,0.1,43065036.0,,,9.0,0.88516,0.726047,0.940006,0.880672,0.723971,0.938277,0.869624,1.085717,0.890021,18.47,0.015536,1.0179,True,increasing,False,,,,,,,,,,0.0,0.0,1.21,67643.123853,1127.385398,6764.31,5602.82,5645.65,completed,/raid/tin_trungchau/tmp/centralized_20260213_143410,,,
centralized_20260213_194652,20260213_194652,2021.0,bert_nonlinear,,,centralized,72,0.0003,1,10,6.0,32,5.0,0.02,1,,5,0.2,336,4,1,334,768,16,3,4,8,16,0.1,111157452.0,,,1.0,0.898496,0.73006,0.947009,0.891626,0.726728,0.944073,1.161489,0.898496,1.258949,0.0,-0.262993,0.7736,False,increasing,True,6.0,,,,,,,,,0.0,0.0,,39625.007396,660.41679,6604.17,5555.38,5581.24,early_stopped,/raid/tin_trungchau/tmp/centralized_20260213_194652,,,
centralized_20260214_064746,20260214_064746,2021.0,bert_nonlinear,,,centralized,432,0.0003,1,10,6.0,32,5.0,0.02,1,,5,0.2,336,4,1,334,768,16,3,4,8,16,0.1,203502132.0,,,1.0,1.001462,0.782143,0.999703,1.00622,0.783713,1.002768,1.245909,1.001462,1.359273,0.0,-0.244447,0.8038,False,increasing,True,6.0,,,,,,,,,0.0,0.0,,41952.497258,699.208288,6992.08,5823.72,5912.58,early_stopped,/raid/tin_trungchau/tmp/centralized_20260214_064746,,,
centralized_20260214_092202,20260214_092202,2021.0,llama_nonlinear,,,centralized,432,0.0003,1,10,10.0,32,5.0,0.02,1,,5,0.2,336,4,1,334,768,16,3,4,8,16,0.1,135409716.0,,,7.0,0.993296,0.779341,0.995675,0.999731,0.781436,0.99952,0.971563,1.037296,1.006874,4.24,0.021733,1.0224,False,increasing,False,,,,,,,,,,0.0,0.0,3.86,50441.909817,840.698497,5044.19,4155.86,5858.44,completed,/raid/tin_trungchau/tmp/centralized_20260214_092202,,,
centralized_20260219_224606,20260219_224606,,bert_nonlinear,,,centralized,1,0.0003,1,10,,32,,0.02,1,,5,0.2,336,4,1,334,768,16,3,4,8,16,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,failed,/raid/tin_trungchau/tmp/centralized_20260219_224606,,vnmet,
centralized_20260219_224729,20260219_224729,,bert_nonlinear,,,centralized,1,0.0003,1,10,,32,,0.02,1,,5,0.2,336,4,1,334,768,16,3,4,8,16,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,failed,/raid/tin_trungchau/tmp/centralized_20260219_224729,,vnmet,
